Country,"Country Code","Time","Time Code","Core CPI,not seas.adj,,, [CORENS]","Core CPI,seas.adj,,, [CORESA]","CPI Price, % y-o-y, median weighted, seas. adj., [CPTOTSAXMZGY]","CPI Price, % y-o-y, not seas. adj.,, [CPTOTSAXNZGY]","CPI Price, seas. adj.,,, [CPTOTSAXN]","CPI Price,not seas.adj,,, [CPTOTNSXN]","Exchange rate, new LCU per USD extended backward, period average,, [DPANUSSPB]","Exchange rate, old LCU per USD extended forward, period average,, [DPANUSSPF]","Exports Merchandise, Customs, constant US$, millions, not seas. adj. [DXGSRMRCHNSKD]","Exports Merchandise, Customs, constant US$, millions, seas. adj. [DXGSRMRCHSAKD]","Exports Merchandise, Customs, current US$, millions, not seas. adj. [DXGSRMRCHNSCD]","Exports Merchandise, Customs, current US$, millions, seas. adj. [DXGSRMRCHSACD]","Exports Merchandise, Customs, Price, US$, not seas. adj. [DXGSRMRCHNSXD]","Exports Merchandise, Customs, Price, US$, seas. adj. [DXGSRMRCHSAXD]","GDP,constant 2010 LCU,millions,seas. adj., [NYGDPMKTPSAKN]","GDP,constant 2010 US$,millions,seas. adj., [NYGDPMKTPSAKD]","GDP,current LCU,millions,seas. adj., [NYGDPMKTPSACN]","GDP,current US$,millions,seas. adj., [NYGDPMKTPSACD]","Imports Merchandise, Customs, constant US$, millions, not seas. adj. [DMGSRMRCHNSKD]","Imports Merchandise, Customs, constant US$, millions, seas. adj. [DMGSRMRCHSAKD]","Imports Merchandise, Customs, current US$, millions, not seas. adj. [DMGSRMRCHNSCD]","Imports Merchandise, Customs, current US$, millions, seas. adj. [DMGSRMRCHSACD]","Imports Merchandise, Customs, Price, US$, not seas. adj. [DMGSRMRCHNSXD]","Imports Merchandise, Customs, Price, US$, seas. adj. [DMGSRMRCHSAXD]","Industrial Production, constant US$, seas. adj.,, [IPTOTSAKD]","Industrial Production, constant US$,,, [IPTOTNSKD]","J.P. Morgan Emerging Markets Bond Index(EMBI+),,,, [EMBIGI]","J.P. Morgan Emerging Markets Bond Spread (EMBI+),,,, [EMBIG]","Months Import Cover of Foreign Reserves,,,, [IMPCOV]","Nominal Effecive Exchange Rate,,,, [NEER]","Official exchange rate, LCU per USD, period average,, [DPANUSLCU]","Real Effective Exchange Rate,,,, [REER]","Retail Sales Volume,Index,,, [RETSALESSA]","Stock Markets, LCU,,, [DSTKMKTXN]","Stock Markets, US$,,, [DSTKMKTXD]","Terms of Trade,,,, [TOT]","Total Reserves,,,, [TOTRESV]","Unemployment rate,Percent,,, [UNEMPSA_]"
Macedonia FYR,"MKD","2015M11","2015M11","108.37251175353","NA","NA","-0.33376449063","110.79869721235","110.61768268066","57.37402380952","57.37402380952","NA","NA","295.87","286.10314557117","NA","NA","NA","NA","NA","NA","NA","NA","587.30444444444","544.80909455054","0.98904635416","0.98904635416","196832882.426258","269196240.702161","NA","NA","0.07049100252","101.55249110753","57.37402380952","100.39118409087","NA","62.59045556459","47.08320985825","NA","38.40413925499","24.66835225297"
Macedonia FYR,"MKD","2015M12","2015M12","108.59257777333","NA","NA","-0.28419187133","110.7778173509","110.56721840937","56.53530434783","56.53530434783","NA","NA","281.48","284.07032387877","NA","NA","NA","NA","NA","NA","NA","NA","576.22","547.97739973834","0.97744751332","0.97744751332","190411844.345949","252461128.047497","NA","NA","0.07300822974","101.91963786178","56.53530434783","100.66452221709","NA","64.26195319705","49.12816303943","NA","40.00685989209","24.55393879581"
Macedonia FYR,"MKD","2015Q1","2015Q1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","745.16","832.7420571199","NA","NA","104482.892493865","2684.17947361129","140659.39071895","2577.70601215241","1435.18485100148","1555.66177975596","1465.42","1602.8336274968","1.02109073635","1.02109073635","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Macedonia FYR,"MKD","2015Q2","2015Q2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","866.94","844.43550388279","NA","NA","104029.851568432","2672.54079168233","137457.822474779","2469.99296197455","1596.11210221502","1551.51240762265","1638.93","1594.74774842962","1.0267882013","1.0267882013","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Macedonia FYR,"MKD","2015Q3","2015Q3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","858.55","831.5024965418","NA","NA","106465.872561062","2735.12249658764","139309.482738494","2534.76338062983","1536.35849204892","1564.70749386734","1550.01","1565.75388635519","1.0040996142","1.0040996142","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Macedonia FYR,"MKD","2015Q4","2015Q4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","899.68","860.62830891006","NA","NA","108072.131723141","2776.38750915805","141273.351647874","2510.81597332249","NA","NA","1745.51","1632.31367046182","0.98851591521","0.98851591521","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
Macedonia FYR,"MKD","2016","2016","109.17025107532","NA","NA","-0.23104726469","110.6704020257","110.45283272776","55.69514170139","55.69514170139","NA","NA","3750.02","3748.48091758442","NA","NA","433210.193433821","11129.2277732693","607541.552744588","10908.421854881","NA","NA","6757.46","6754.82006610286","0.97880469401","0.97880469401","2277916984.44564","2868876455.0852","NA","NA","0.00661949943","102.59198693517","55.69514170139","100.89724926613","NA","67.90673550519","52.58833973714","NA","44.71352757091","23.7510030375"
Macedonia FYR,"MKD","2016M01","2016M01","108.43252975893","NA","NA","0.18110334969","110.54441401002","110.27452563585","56.78357142857","56.78357142857","NA","NA","237.68","290.93480727444","NA","NA","NA","NA","NA","NA","NA","NA","501.79296296296","543.138675515","0.97880469401","0.97880469401","191601227.132613","194844525.90787","NA","NA","0.0728534816","102.49930793736","56.78357142857","101.02554024794","NA","65.30809089833","49.62908803288","NA","39.56954350479","24.52091700643"
Macedonia FYR,"MKD","2016M02","2016M02","108.41252375713","NA","NA","0.11323569049","110.78642972676","110.14331853048","55.47888095238","55.47888095238","NA","NA","286.86","319.19887852544","NA","NA","NA","NA","NA","NA","NA","NA","493.1062962963","546.49981648918","NA","NA","197781772.08731","220903487.04156","NA","NA","0.07432254576","102.81684679268","55.47888095238","101.16918611666","NA","65.00364142972","50.57343635679","NA","40.61725761798","24.40215298351"
Macedonia FYR,"MKD","2016M03","2016M03","108.65259577873","NA","NA","-0.30261435721","110.67761863151","110.25433992733","55.31884347826","55.31884347826","NA","NA","311.58","318.4783049316","NA","NA","NA","NA","NA","NA","NA","NA","503.22074074074","552.16740643956","NA","NA","190860896.174647","243854498.682242","NA","NA","0.07419481213","102.25752418642","55.31884347826","100.68806603505","NA","64.63044277512","50.42754941384","NA","40.9679569836","24.27601131826"
